Date,Open,High,Low,Close,Adj Close,Volume
2018-03-22,1428.000000,1435.000000,1412.500000,1414.974976,1298.811157,97270
2018-03-23,1403.349976,1415.500000,1400.000000,1408.224976,1292.615234,193700
2018-03-26,1408.349976,1411.449951,1391.150024,1406.525024,1291.055054,296360
2018-03-27,1410.050049,1434.500000,1410.050049,1420.925049,1304.272949,75910
2018-03-28,1419.500000,1437.000000,1413.775024,1424.650024,1307.691650,164114
2018-04-02,1422.500000,1455.000000,1422.500000,1451.449951,1332.291626,101468
2018-04-03,1450.000000,1463.574951,1446.500000,1454.050049,1334.678345,68598
2018-04-04,1461.500000,1466.650024,1445.974976,1453.525024,1334.196289,75234
2018-04-05,1457.775024,1481.000000,1457.775024,1478.574951,1357.189697,130186
2018-04-06,1470.500000,1480.675049,1463.500000,1474.849976,1353.770752,42414
2018-04-09,1475.000000,1481.500000,1457.500000,1460.574951,1340.667603,46454
2018-04-10,1469.500000,1477.925049,1462.550049,1465.925049,1345.578125,59978
2018-04-11,1475.000000,1513.449951,1473.599976,1507.750000,1383.969482,184910
2018-04-12,1507.750000,1575.000000,1505.074951,1568.650024,1439.869995,1843550
2018-04-13,1574.500000,1619.000000,1565.550049,1575.500000,1446.157471,283872
2018-04-16,1566.000000,1599.500000,1554.025024,1592.400024,1461.669922,235726
2018-04-17,1595.000000,1595.000000,1574.650024,1582.949951,1452.995972,92720
2018-04-18,1586.474976,1594.900024,1573.650024,1579.750000,1450.058960,104790
2018-04-19,1587.500000,1607.500000,1583.150024,1595.324951,1464.354980,204144
2018-04-20,1625.099976,1710.625000,1622.500000,1703.199951,1563.373901,1543910
2018-04-23,1714.500000,1778.500000,1700.000000,1707.599976,1567.412354,1011632
2018-04-24,1706.474976,1721.750000,1672.949951,1692.824951,1553.850586,390992
2018-04-25,1692.500000,1740.750000,1683.000000,1733.949951,1591.599487,443866
2018-04-26,1735.500000,1780.000000,1734.500000,1770.175049,1624.850708,301996
2018-04-27,1770.000000,1771.574951,1724.650024,1727.400024,1585.587158,214912
2018-04-30,1727.500000,1773.500000,1719.099976,1765.699951,1620.742676,184786
2018-05-02,1766.500000,1780.000000,1737.800049,1748.900024,1605.322388,129712
2018-05-03,1751.000000,1763.925049,1737.500000,1741.324951,1598.368774,145044
2018-05-04,1741.000000,1752.000000,1735.650024,1740.425049,1597.543091,93992
2018-05-07,1741.125000,1745.000000,1710.050049,1713.849976,1573.149414,126844
2018-05-08,1716.000000,1743.974976,1699.425049,1720.525024,1579.276733,202564
2018-05-09,1724.500000,1747.224976,1721.500000,1744.525024,1601.306274,99586
2018-05-10,1745.500000,1754.724976,1723.000000,1726.375000,1584.646606,123642
2018-05-11,1727.500000,1743.750000,1723.199951,1730.300049,1588.249268,70336
2018-05-14,1732.000000,1739.925049,1708.000000,1718.375000,1577.303223,603792
2018-05-15,1727.000000,1747.250000,1718.449951,1741.224976,1598.277344,79148
2018-05-16,1740.000000,1754.974976,1737.500000,1747.775024,1604.289551,58254
2018-05-17,1757.925049,1764.900024,1737.500000,1746.349976,1602.981567,96268
2018-05-18,1744.925049,1759.000000,1731.250000,1751.175049,1607.410522,52170
2018-05-21,1760.000000,1795.925049,1755.000000,1778.974976,1632.928101,136672
2018-05-22,1779.000000,1787.500000,1747.500000,1754.025024,1610.026611,103528
2018-05-23,1764.000000,1772.474976,1741.400024,1748.525024,1604.978149,90694
2018-05-24,1750.000000,1807.500000,1750.000000,1802.400024,1654.429932,192390
2018-05-25,1809.500000,1837.000000,1786.400024,1794.724976,1647.385132,169150
2018-05-28,1800.550049,1809.000000,1744.000000,1751.900024,1608.075684,263160
2018-05-29,1756.000000,1774.750000,1745.550049,1761.349976,1616.750000,205762
2018-05-30,1760.000000,1766.250000,1742.300049,1758.875000,1614.478027,309140
2018-05-31,1742.300049,1758.699951,1726.099976,1744.800049,1614.871582,156722
2018-06-01,1758.000000,1760.000000,1719.000000,1732.250000,1603.256226,117215
2018-06-04,1751.699951,1752.000000,1712.900024,1744.550049,1614.640381,242609
2018-06-05,1745.000000,1752.599976,1713.449951,1721.199951,1593.028931,104701
2018-06-06,1724.699951,1735.300049,1716.300049,1727.250000,1598.628662,383083
2018-06-07,1725.400024,1748.500000,1725.400024,1734.599976,1605.431152,118908
2018-06-08,1736.000000,1757.500000,1736.000000,1748.199951,1618.018311,402906
2018-06-11,1747.000000,1763.449951,1742.800049,1750.599976,1620.239868,58160
2018-06-12,1756.000000,1784.949951,1753.500000,1781.000000,1648.375977,152861
2018-06-13,1815.000000,1832.000000,1800.000000,1824.199951,1688.359131,353957
2018-06-14,1839.000000,1840.000000,1785.000000,1792.250000,1658.788452,313381
2018-06-15,1801.000000,1849.000000,1791.000000,1841.449951,1704.324585,765529
2018-06-18,1869.000000,1870.699951,1825.500000,1830.699951,1694.375122,522045
2018-06-19,1822.650024,1839.599976,1822.000000,1825.849976,1689.886108,721683
2018-06-20,1833.000000,1836.599976,1823.000000,1826.300049,1690.302734,204010
2018-06-21,1830.000000,1834.000000,1818.000000,1819.849976,1684.332886,184984
2018-06-22,1828.800049,1829.000000,1803.250000,1811.800049,1676.882568,200191
2018-06-25,1812.000000,1824.000000,1809.000000,1820.449951,1684.888306,215085
2018-06-26,1821.000000,1862.000000,1821.000000,1852.699951,1714.736572,1065791
2018-06-27,1859.800049,1886.199951,1852.000000,1859.800049,1721.307983,474432
2018-06-28,1865.000000,1872.000000,1830.150024,1847.300049,1709.738647,333642
2018-06-29,1846.000000,1868.000000,1843.000000,1847.199951,1709.646118,229631
2018-07-02,1829.949951,1859.949951,1829.949951,1855.599976,1717.420654,151420
2018-07-03,1859.949951,1880.000000,1858.000000,1875.900024,1736.209229,163967
2018-07-04,1879.000000,1880.000000,1860.099976,1869.650024,1730.424561,138775
2018-07-05,1875.199951,1887.000000,1864.000000,1881.699951,1741.577026,110452
2018-07-06,1882.800049,1920.300049,1880.000000,1913.300049,1770.823975,211358
2018-07-09,1927.949951,1930.000000,1882.000000,1887.650024,1747.084229,374551
2018-07-10,1895.199951,1900.000000,1872.599976,1877.000000,1737.227173,433180
2018-07-11,1900.000000,1995.000000,1894.000000,1979.599976,1832.187134,1157363
2018-07-12,1984.000000,1992.000000,1961.500000,1971.000000,1824.227417,602500
2018-07-13,1975.000000,1998.000000,1975.000000,1981.250000,1833.714111,975624
2018-07-16,1985.050049,1996.000000,1978.400024,1988.800049,1840.702271,112080
2018-07-17,1988.000000,2005.449951,1982.000000,1997.849976,1852.804565,117890
2018-07-18,2005.500000,2009.900024,1993.000000,1997.300049,1852.294312,78031
2018-07-19,1999.000000,2009.949951,1970.550049,1981.449951,1837.594849,83227
2018-07-20,1983.050049,2000.000000,1983.000000,1995.949951,1851.042480,62274
2018-07-23,2000.000000,2008.849976,1991.199951,2005.050049,1859.481445,86334
2018-07-24,2009.050049,2012.000000,1987.000000,1996.849976,1851.876953,59826
2018-07-25,2000.150024,2003.000000,1971.000000,1979.400024,1835.693848,91325
2018-07-26,1975.000000,1985.050049,1955.550049,1963.300049,1820.763062,83737
2018-07-27,1965.000000,1966.800049,1940.000000,1943.099976,1802.029419,132170
2018-07-30,1948.550049,1955.300049,1935.000000,1944.949951,1803.744873,96383
2018-07-31,1943.599976,1948.500000,1929.050049,1941.250000,1800.313599,89586
2018-08-01,1951.000000,1980.000000,1950.000000,1975.099976,1831.706421,112747
2018-08-02,1980.699951,1984.599976,1941.000000,1950.650024,1809.031250,105704
2018-08-03,1956.900024,1980.000000,1956.900024,1977.349976,1833.792725,57673
2018-08-06,1998.000000,1998.000000,1971.000000,1976.349976,1832.865356,110668
2018-08-07,1977.000000,1977.050049,1961.000000,1968.099976,1825.214478,78403
2018-08-08,1970.000000,1978.300049,1963.750000,1974.599976,1831.242188,94389
2018-08-09,1985.900024,1985.900024,1966.300049,1974.550049,1831.195923,101982
2018-08-10,1978.050049,1997.050049,1974.000000,1993.849976,1849.094727,140439
2018-08-13,2000.000000,2002.550049,1988.250000,2000.500000,1855.262085,364314
2018-08-14,1992.000000,2024.000000,1983.500000,2001.250000,1855.957520,228939
2018-08-16,2002.000000,2019.000000,1996.000000,2008.750000,1862.913208,132552
2018-08-17,2014.000000,2021.150024,2005.000000,2011.849976,1865.788086,175463
2018-08-20,2023.500000,2023.500000,2005.250000,2010.400024,1864.443237,69717
2018-08-21,2010.000000,2022.750000,2005.000000,2013.650024,1867.457520,62718
2018-08-23,2020.000000,2038.699951,2020.000000,2035.449951,1887.674683,162256
2018-08-24,2035.099976,2046.050049,2031.000000,2042.199951,1893.934570,90110
2018-08-27,2042.000000,2058.550049,2036.550049,2051.649902,1902.698486,102741
2018-08-28,2052.750000,2072.000000,2051.649902,2065.550049,1915.589355,167682
2018-08-29,2072.899902,2072.899902,2046.099976,2065.800049,1915.821289,96894
2018-08-30,2070.000000,2080.199951,2064.399902,2079.449951,1928.480225,187645
2018-08-31,2080.000000,2090.500000,2073.050049,2078.199951,1927.320679,166815
2018-09-03,2080.050049,2089.949951,2052.100098,2054.949951,1905.758911,125871
2018-09-04,2055.000000,2100.000000,2055.000000,2093.199951,1941.231934,318313
2018-09-05,2100.000000,2105.949951,2075.000000,2078.149902,1927.274414,136884
2018-09-06,2080.000000,2081.500000,2063.000000,2075.699951,1925.002319,64300
2018-09-07,2080.000000,2083.949951,2065.550049,2079.699951,1928.712158,49201
2018-09-10,2082.949951,2093.399902,2074.100098,2081.199951,1930.103271,59853
2018-09-11,2084.000000,2089.250000,2042.000000,2045.949951,1897.412109,94049
2018-09-12,2051.000000,2067.800049,2040.000000,2043.750000,1895.372070,162054
2018-09-14,2045.000000,2070.850098,2018.849976,2063.300049,1913.502808,142167
2018-09-17,2070.000000,2077.000000,2054.850098,2071.600098,1921.200317,49469
2018-09-18,2075.000000,2077.300049,2059.000000,2070.000000,1919.716309,44727
2018-09-19,2074.000000,2088.100098,2066.000000,2076.899902,1926.115356,56494
2018-09-21,2078.000000,2130.850098,2052.500000,2103.800049,1951.062622,124436
2018-09-24,2104.000000,2214.149902,2098.300049,2198.699951,2039.072632,299610
2018-09-25,2200.000000,2209.600098,2155.000000,2183.100098,2024.605347,128098
2018-09-26,2183.000000,2197.100098,2135.000000,2141.449951,1985.979126,79677
2018-09-27,2150.000000,2202.000000,2136.600098,2187.800049,2028.963989,121150
