Date,Open,High,Low,Close,Adj Close,Volume
2017-08-16,3980.000000,3980.000000,3892.000000,3940.899902,3866.839355,31711
2017-08-17,3941.000000,3998.149902,3921.000000,3936.550049,3862.570801,26503
2017-08-18,3953.899902,4030.000000,3934.750000,4007.399902,3932.089355,11075
2017-08-21,3952.000000,4055.949951,3952.000000,4010.199951,3934.836914,8633
2017-08-22,3965.000000,4017.399902,3960.250000,3974.949951,3900.249268,5167
2017-08-23,3981.000000,3987.199951,3941.800049,3963.850098,3889.357666,5619
2017-08-24,3955.000000,3956.949951,3930.050049,3938.350098,3864.337402,8329
2017-08-28,3938.600098,3995.000000,3938.600098,3988.100098,3913.152100,5635
2017-08-29,3939.000000,3970.000000,3917.000000,3933.399902,3859.479736,7615
2017-08-30,3910.000000,4022.000000,3910.000000,4007.500000,3932.187744,6897
2017-08-31,4025.000000,4030.050049,3985.050049,3998.449951,3923.307373,12475
2017-09-01,4000.000000,4032.000000,3998.250000,4010.449951,3935.082275,11626
2017-09-04,4000.000000,4045.000000,3980.000000,3987.800049,3912.857910,5478
2017-09-05,4029.899902,4105.250000,3985.000000,4099.649902,4022.605713,19579
2017-09-06,4100.000000,4165.000000,4080.000000,4153.399902,4075.345947,16234
2017-09-07,4170.000000,4185.250000,4100.000000,4113.500000,4036.195557,6457
2017-09-08,4150.000000,4160.000000,4091.449951,4126.750000,4049.196533,87559
2017-09-11,4170.100098,4190.000000,4142.299805,4165.700195,4087.414307,8368
2017-09-12,4197.000000,4232.000000,4180.350098,4222.149902,4142.804199,14086
2017-09-13,4210.000000,4222.000000,4161.000000,4173.100098,4094.675537,2607
2017-09-14,4225.000000,4225.000000,4182.000000,4202.250000,4123.277344,3157
2017-09-15,4176.000000,4226.000000,4176.000000,4204.549805,4125.534668,2864
2017-09-18,4211.000000,4242.000000,4191.450195,4200.799805,4121.854980,2617
2017-09-19,4161.100098,4213.299805,4161.100098,4186.950195,4108.265625,2541
2017-09-20,4200.000000,4206.750000,4156.000000,4196.950195,4118.077637,9389
2017-09-21,4235.000000,4238.899902,4150.000000,4168.500000,4090.162354,6179
2017-09-22,4142.200195,4156.700195,3989.000000,3994.199951,3919.137451,17413
2017-09-25,4050.000000,4050.000000,3895.000000,3910.949951,3837.452393,7490
2017-09-26,3912.000000,3933.800049,3830.199951,3914.050049,3840.493896,8817
2017-09-27,3916.100098,3954.550049,3774.000000,3798.649902,3727.262451,90436
2017-09-28,3809.899902,3873.000000,3780.050049,3862.449951,3789.863770,7523
2017-09-29,3868.750000,3910.149902,3845.500000,3852.800049,3780.395020,4002
2017-10-03,3900.000000,3940.000000,3876.050049,3898.350098,3825.088867,4053
2017-10-04,3885.000000,3926.699951,3853.949951,3866.050049,3793.396240,6322
2017-10-05,3879.899902,3920.649902,3855.100098,3883.000000,3810.027588,11679
2017-10-06,3939.949951,3950.000000,3910.750000,3925.050049,3851.287354,6149
2017-10-09,3930.000000,3984.300049,3925.050049,3964.600098,3890.094238,12752
2017-10-10,3956.250000,3990.000000,3946.300049,3963.149902,3888.671143,2841
2017-10-11,3960.000000,3979.800049,3925.000000,3951.550049,3877.289063,7082
2017-10-12,3951.100098,3951.100098,3885.000000,3922.100098,3848.392822,6823
2017-10-13,3939.000000,4011.000000,3900.000000,4003.300049,3928.066650,10531
2017-10-16,4025.000000,4040.750000,3984.449951,4004.199951,3928.949707,48126
2017-10-17,4005.000000,4125.000000,4004.250000,4069.199951,3992.728271,11904
2017-10-18,4096.899902,4180.000000,4053.000000,4090.750000,4013.873291,35754
2017-10-19,4080.000000,4080.000000,4000.000000,4024.050049,3948.426758,1993
2017-10-23,4030.300049,4227.700195,4030.300049,4209.049805,4129.949707,17510
2017-10-24,4210.000000,4299.950195,4193.600098,4211.200195,4132.059570,52170
2017-10-25,4210.000000,4485.000000,4210.000000,4464.700195,4380.795898,31844
2017-10-26,4460.000000,4510.000000,4407.100098,4488.299805,4403.951660,338074
2017-10-27,4520.000000,4520.000000,4413.000000,4435.399902,4352.046875,6726
2017-10-30,4449.000000,4485.000000,4426.549805,4469.149902,4385.161621,4042
2017-10-31,4491.000000,4491.000000,4392.000000,4401.250000,4318.538086,4400
2017-11-01,4459.000000,4459.000000,4407.399902,4420.700195,4337.623047,4679
2017-11-02,4488.000000,4488.000000,4372.649902,4398.000000,4315.349121,3249
2017-11-03,4413.200195,4413.850098,4354.799805,4368.799805,4286.697754,5555
2017-11-06,4360.100098,4446.850098,4360.100098,4420.649902,4337.573730,5654
2017-11-07,4429.399902,4475.000000,4343.899902,4361.250000,4279.289551,4817
2017-11-08,4376.000000,4424.000000,4335.450195,4374.750000,4292.536133,4085
2017-11-09,4397.899902,4412.950195,4345.000000,4368.500000,4286.403809,12243
2017-11-10,4399.899902,4470.000000,4345.149902,4445.649902,4362.103516,13782
2017-11-13,4452.049805,4486.750000,4320.100098,4352.049805,4270.262207,14724
2017-11-14,4352.600098,4400.000000,4347.950195,4356.950195,4275.070801,10225
2017-11-15,4357.000000,4357.000000,4268.350098,4315.450195,4234.350586,10053
2017-11-16,4325.000000,4330.000000,4261.000000,4277.100098,4196.721680,8992
2017-11-17,4300.000000,4345.000000,4251.200195,4277.299805,4196.916992,13239
2017-11-20,4265.000000,4265.000000,4175.250000,4192.899902,4114.103516,11780
2017-11-21,4181.000000,4210.700195,4125.850098,4161.600098,4083.392090,17995
2017-11-22,4170.000000,4234.950195,4170.000000,4224.750000,4145.354980,8860
2017-11-23,4234.950195,4254.350098,4180.100098,4192.049805,4113.269043,7731
2017-11-24,4196.000000,4244.950195,4196.000000,4231.799805,4152.271973,5098
2017-11-27,4250.000000,4280.000000,4210.000000,4263.299805,4183.180176,8276
2017-11-28,4264.000000,4311.000000,4221.000000,4258.000000,4177.979980,8518
2017-11-29,4300.000000,4307.850098,4255.049805,4280.899902,4200.449707,5960
2017-11-30,4251.399902,4251.399902,4194.649902,4211.049805,4131.912109,5021
2017-12-01,4220.000000,4245.100098,4148.450195,4172.750000,4094.331787,4170
2017-12-04,4249.899902,4249.899902,4100.450195,4109.850098,4032.614258,4947
2017-12-05,4115.000000,4135.000000,4075.050049,4109.899902,4032.663330,67486
2017-12-06,4120.000000,4120.000000,4020.000000,4030.000000,3954.264893,11500
2017-12-07,4045.000000,4118.000000,4020.050049,4085.699951,4008.917969,7312
