Date,Open,High,Low,Close,Adj Close,Volume
2017-08-16,6650.000000,6733.000000,6642.350098,6671.750000,6143.510742,653
2017-08-17,6661.399902,6707.000000,6650.000000,6674.899902,6146.410645,980
2017-08-18,6674.899902,6719.200195,6635.000000,6645.500000,6119.338379,33268
2017-08-21,6660.000000,6660.000000,6595.899902,6617.649902,6093.694336,20942
2017-08-22,6657.799805,6725.000000,6585.049805,6618.700195,6094.661133,29268
2017-08-23,6670.000000,6690.000000,6617.000000,6624.500000,6100.001465,41094
2017-08-24,6639.100098,6652.799805,6585.000000,6594.649902,6072.515625,27670
2017-08-28,6674.750000,7072.250000,6674.750000,7051.200195,6492.918457,16354
2017-08-29,7068.000000,7069.850098,6900.350098,6955.200195,6404.519043,14283
2017-08-30,7024.850098,7043.950195,6933.899902,7022.399902,6466.396484,3694
2017-08-31,7035.549805,7120.049805,6947.299805,7101.100098,6538.866699,6391
2017-09-01,7089.000000,7100.000000,7001.000000,7022.100098,6466.122070,2078
2017-09-04,7020.000000,7047.549805,6841.649902,6858.750000,6315.704590,2732
2017-09-05,6897.950195,7029.000000,6897.950195,7022.950195,6466.904297,3725
2017-09-06,6810.100098,6988.850098,6800.000000,6949.700195,6399.454590,2879
2017-09-07,7000.000000,7169.000000,6943.200195,7137.750000,6572.614746,8830
2017-09-08,7140.000000,7220.000000,7134.950195,7194.799805,6625.148438,7825
2017-09-11,7219.950195,7319.000000,7210.049805,7293.649902,6716.171387,7475
2017-09-12,7336.100098,7408.350098,7230.000000,7371.500000,6787.856934,7239
2017-09-13,7350.000000,7407.000000,7201.049805,7253.350098,6679.061523,2852
2017-09-14,7300.000000,7300.000000,7206.100098,7252.600098,6678.372070,981
2017-09-15,7234.100098,7356.850098,7230.700195,7335.299805,6754.524414,1092
2017-09-18,7336.000000,7336.000000,7278.000000,7290.700195,6713.454590,883
2017-09-19,7290.700195,7320.549805,7240.899902,7272.100098,6696.329102,805
2017-09-20,7227.299805,7242.399902,7175.000000,7223.000000,6651.115234,1220
2017-09-21,7200.950195,7208.250000,7112.600098,7143.899902,6578.278320,1321
